	DCZTrt_A_1	DCZTrt_A_2	DCZTrt_A_3	DCZctrl_A_1	DCZctrl_A_2	DCZctrl_A_3	DCZctrl_A_4	DCZTrt_N_1	DCZTrt_N_2	DCZTrt_N_3	DCZctrl_N_1	DCZctrl_N_2	DCZctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000000001	112	20	85	111	221	70	21	119	33	89	99	103	148	136	27	94	66	136.92	95
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	3	1	7	10	20	13	7	1	6	10	3	2	17	5	0	2	3	0	1
ENSMUSG00000000031	1	0	1	6	2	0	1	0	6	3	1	0	0	2	0	0	0	0	0
ENSMUSG00000000037	12	0	11.999	20	23	14	14	18	13	12	16	17	9	48.001	5	12	8	11	5
ENSMUSG00000000049	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3
ENSMUSG00000000056	113	50	134	123	184	87	49	167.343	44	130	178	153	77	134	56	91	68	87	71
ENSMUSG00000000058	46	18	37	19	57	21	8	48	8	13	38	29	9	58	38	21	24.081	11	8
ENSMUSG00000000078	153	71	202	219	209	140	54	295	141.001	168	257	179	754	149	99	183	119	612.575	339
ENSMUSG00000000085	294.001	384	525	548	566.001	463.999	187	580.091	181.999	400.001	491.999	473	239	400.83	252	527.999	260.999	104.001	245
ENSMUSG00000000088	79.92	27	47	114.669	171.863	59	5	131.638	24.602	59.713	107	90.849	77	112.927	37.001	58	54.904	43	63.609
ENSMUSG00000000093	1	0	1	9	6	1	2	1	1	1	0	1	2	0	1	0	0	11	1
ENSMUSG00000000094	1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0
ENSMUSG00000000103	0	0	6	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	3	0	1	2	11	0	0	0	9	1	1	0	0	20	0	3	0	0	0
ENSMUSG00000000125	7	0	14	9	27	2	0	2	5	3	6	2	4	17	1	5	1	12	2
ENSMUSG00000000126	8	17	12	10	22	44	12	38	6	19	31	35	29	12	33	35	18	19	13
ENSMUSG00000000127	147	154.001	325	278.001	381.503	272	94	324	67	202.001	318	282.001	113	229	154	341.001	163.999	77.999	163
ENSMUSG00000000131	730.941	544.484	972.31	1262.786	1292.691	677.999	297	893.354	422.001	722.001	778.787	765.205	951.06	836.444	499.001	876.68	415.999	733.069	702.634
ENSMUSG00000000134	111	44	129.174	166	135	89	57.001	138.001	40	96	121.001	105.081	89.853	92.001	96	108.062	60	59	93
ENSMUSG00000000142	91	80	70	138.001	122	53.001	31	81.001	20	61.001	39.001	57.999	46	134	21	70	29	34	34
ENSMUSG00000000148	45	59	74	92.001	129.001	67	18	90	30.001	63	70	61	43	70	50	63	31	29	49
ENSMUSG00000000149	189.709	24	48	159.548	253.034	20	15	18.919	27	27.764	17.247	35	12	241.879	18	25	11	3	12
ENSMUSG00000000154	2	0	1	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	4	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000000167	7	18	11	7	1	38	17	32	15	17	25.001	16	40.999	17	6	13	7	24	30
ENSMUSG00000000168	78	57	176	167.09	210	167	33	264	48	173	198	236	123.999	138	59	146	141	91	159
ENSMUSG00000000171	30	23	36	42	58	20	11	74	12	19	41	46	46	53	28	42	20	25	24
ENSMUSG00000000182	11	1	9	7	0	27	5	9	17	8	17	4	6	0	0	22	0	3	9
ENSMUSG00000000183	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000000184	249.012	152.209	223	140.748	129.448	145.74	81.886	233.972	84.984	119.476	92.399	212.368	91	184.502	127.16	131.294	100.001	62.332	56.261
ENSMUSG00000000194	181.001	279.511	293	279.999	356.834	323.817	100.94	299.177	266.831	262.143	266.551	233.201	535.657	199	196.211	269.999	127.307	552.779	328.262
