	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000000001	157.013	56	51	70	131	85	145	96	87	136	27	94	66	136.92	95
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	22	2	4	2	19	0	3	1	3	5	0	2	3	0	1
ENSMUSG00000000031	2	5	10	0	7	0	0	2	0	2	0	0	0	0	0
ENSMUSG00000000037	10	6	3	14	49	1	16	22	19	48.001	5	12	8	11	5
ENSMUSG00000000049	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000000056	188	122	57	103	122	76.19	177	124	138	134	56	91	68	87	71
ENSMUSG00000000058	21	16	42	28	32	12	35	22	32	58	38	21	24.081	11	8
ENSMUSG00000000078	424	205	145	203	628.34	402.493	231	551	202	149	99	183	119	612.575	339
ENSMUSG00000000085	421.001	568	398	435.001	452.587	273.001	498.001	321	378	400.83	252	527.999	260.999	104.001	245
ENSMUSG00000000088	125.613	61.999	136.764	84.999	68	41.766	90.015	84.108	89.195	112.927	37.001	58	54.904	43	63.609
ENSMUSG00000000093	7	4	26	3	14	6	0	13	0	0	1	0	0	11	1
ENSMUSG00000000094	0	0	0	0	0	3	0	7	0	1	0	0	0	2	0
ENSMUSG00000000103	0	0	0	0	17.305	10.538	0	3	0	0	0	0	0	0	0
ENSMUSG00000000120	3	0	9	0	1	0	0	2	0	20	0	3	0	0	0
ENSMUSG00000000125	7	6	0	15	1	4	7	5	4	17	1	5	1	12	2
ENSMUSG00000000126	3	9	2	23	94	48	40	25	24	12	33	35	18	19	13
ENSMUSG00000000127	244	237	39	227	117	100	353.648	167	265	229	154	341.001	163.999	77.999	163
ENSMUSG00000000131	1343.516	822.002	727.115	760.001	1086.001	683.001	781.781	849.221	679	836.444	499.001	876.68	415.999	733.069	702.634
ENSMUSG00000000134	237	75	185	113	138.001	53	109	113	78	92.001	96	108.062	60	59	93
ENSMUSG00000000142	47.001	69.001	43	76	67	55	54.001	58	53	134	21	70	29	34	34
ENSMUSG00000000148	83.001	89	78.002	40	70	56	51.999	60	61.001	70	50	63	31	29	49
ENSMUSG00000000149	168.546	37.673	136.617	26	42.696	20	11.16	18	21	241.879	18	25	11	3	12
ENSMUSG00000000154	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000000167	27	6	55	31	70.001	32	28	28	17	17	6	13	7	24	30
ENSMUSG00000000168	253	131	34	200	146	98	227	138.219	224	138	59	146	141	91	159
ENSMUSG00000000171	47	35	8	35	44	5	58	34	42.257	53	28	42	20	25	24
ENSMUSG00000000182	2	8	1	11	10	31	7	9	4	0	0	22	0	3	9
ENSMUSG00000000183	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	313.898	202.489	109	182.307	252.4	125.476	187.827	127.925	156	184.502	127.16	131.294	100.001	62.332	56.261
ENSMUSG00000000194	350.07	354.549	332.999	269.794	520	522	254.999	606	193.201	199	196.211	269.999	127.307	552.779	328.262
ENSMUSG00000000197	315	450	343	523.999	476	310	652	378	597.983	429	324	573	429.001	112	349
ENSMUSG00000000202	23	0	0	4	0	0	2	0	0	58	2	9	2	0	1
ENSMUSG00000000204	468.323	51	89	0	17	26	0	36	0	0	17	2	0	0	0
ENSMUSG00000000214	5	0	0	0	2	0	0	0	1	4	0	0	1	1	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSMUSG00000000223	267.544	582.999	655.648	737	318	291	816.924	696	740	271.001	573	806.012	423	203.001	483.837
ENSMUSG00000000244	68	10	0	0	1	3	1	3	0	23.302	0	2	0	0	0
ENSMUSG00000000247	61	24.001	10	55	24.001	21	48	38	44	91	16	60	30	56	30
ENSMUSG00000000248	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	21	13	12.033	34.73	14.554	24.562	27.732	25.045	10	21.515	22.328	16	8.729	13.422	24.222
ENSMUSG00000000263	128	0	13	12	4	6	42	6	22	1	5	1	0	1	2
ENSMUSG00000000266	69	113	64	94	78	66	141	82	143.999	69	65	115	66	32	67
ENSMUSG00000000275	467	30	30	13	126	95	2	109.557	3	121	19	6	2	66	51
ENSMUSG00000000276	289.999	367	247	403.595	298	220	511.999	337	449.402	167	211.001	442	286	138	257.573
ENSMUSG00000000278	245	76	68	58	132	85	67	78	60	65.975	20.907	73	40	64	89
ENSMUSG00000000282	85.065	103	75	73	49	71	82	113	54	82	55	42	44	63.106	42
ENSMUSG00000000290	256	63	67.999	2	24	27	1	7	0	19	1	9	1	5	4
ENSMUSG00000000295	18	4	44	16	16	4	6	7	14	21	4	31	6	1	3
ENSMUSG00000000296	3	8	2	16	4	7	12	10	15.001	11	5	14	14	0	15
ENSMUSG00000000301	1	1	1	0	1	0	3	1	0	0	0	2	3	0	0
ENSMUSG00000000303	34	3	18	1	0	0	1	3	0	35	0	3	0	1	0
ENSMUSG00000000305	48	49	114	37.999	28	10	28.001	59	32	52	45	56	43	32	40
ENSMUSG00000000308	54	154	103	139	215	123.495	168.001	145.313	136.001	47	68	97.999	111	100.999	97.001
ENSMUSG00000000317	7	4	3	1	8	0	4	6	7	15	0	9	11	6	3
ENSMUSG00000000318	7	3	0	0	0	0	0	3	1	1	0	0	2	0	1
ENSMUSG00000000320	2	4	1	5	12	5	5	8	2	2	3	4	0	5	2
ENSMUSG00000000326	57.531	36.955	89.614	38	61.96	36.141	46.316	52.662	46.713	70.158	45.808	29.918	35	56.36	41
ENSMUSG00000000339	87	32	31	73	80	38	74	42	75.001	56	26.999	52	41	20	50
ENSMUSG00000000340	44	28	34	17	31	12	34	33	31	75	11	33	19	12	16
ENSMUSG00000000346	131	55	38	46	45	59	50	63.999	68	91	10	49	43	30	39
ENSMUSG00000000355	47.001	19	9	44	47	17	43.999	21	33.999	48	30	68.001	39	38	37.999
ENSMUSG00000000359	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ENSMUSG00000000365	25	16	0	15	14	2	23	10	20	1	7	14	6	8	11
ENSMUSG00000000374	425	233	204	267	544	290	206	286	201	332.001	116	160.001	140.999	225.001	213
ENSMUSG00000000378	115	35	28	41	32	22	39	42	29	70	13	21	26	18	19
ENSMUSG00000000381	0	5	0	2	23	3	0	12	0	1	3	4	3	19	4
ENSMUSG00000000384	98.009	10	30	38	129	43.999	25.999	58	33	52.001	11	31.999	22	61	36.999
ENSMUSG00000000385	68	6	4	24	49	15	1	29	0	9	10	0	0	19	15
ENSMUSG00000000386	348.177	18.008	17	20.33	66.584	20.253	1	101.688	3	3.117	13	6.632	0	65.079	89.902
ENSMUSG00000000392	53	93	51	128	139	37.999	150.001	165	127.999	15	40	86.001	60	273.003	166.999
ENSMUSG00000000394	1	0	0	1	0	1	0	12	3	0	1	1	0	3	1
ENSMUSG00000000399	90	52	48	66	62	37	82.401	48	67	75	19	56	46	41	42
ENSMUSG00000000402	4	3	0	2	1	3	3	8	5	11	6	6	0	0	0
ENSMUSG00000000409	55.29	3	3	2	17	0	2	5	2	3.025	1	2	2	1	2
ENSMUSG00000000411	16	17	0	3	8	1	3	0	2	2	0	4	1	8	6
ENSMUSG00000000416	1455.004	2033.515	1694.813	2605.846	1511.538	1025.032	2939.149	1948.522	2607.849	1187.419	1478.112	2373.988	1511.569	1017.49	1822
ENSMUSG00000000420	322.293	248	147	230	200	123	283	170	291	317	132	310	145	130	214
ENSMUSG00000000435	0	0	0	2	3	0	2	2	2	0	0	0	0	0	3
ENSMUSG00000000439	334.838	134.35	155.599	265.782	227.578	147.936	289.689	193.131	262.599	251.161	226.71	249.286	141.347	242.379	284.555
ENSMUSG00000000440	35	40	7	74	50.999	38.001	83.365	46	76.999	6	62	106.999	57	13	60
ENSMUSG00000000441	414.876	394.651	222.402	283.218	286.378	293.027	396.312	331.874	309.943	338.84	158.937	370.589	191.594	219.621	293.445
ENSMUSG00000000486	38	15	4	7	32	39	10	21	8	13	5	14	6	19.207	15
ENSMUSG00000000489	60	55	6	27.999	22	19	15	13	7	9	6	13	16	1	5
ENSMUSG00000000530	25	4	2	1	0	3	1	2	4	29	2	0	4	0	1
ENSMUSG00000000531	41	66	58	43	43	18	30	49	21	23	16	50	30	25	17
ENSMUSG00000000532	181	271	127	307	412.013	258	275	315	236	149.003	173	208	158.581	198	212
ENSMUSG00000000538	737.656	942.841	827.39	706.031	1140.23	774.424	626.983	809.6	538.954	976.063	642.033	758.322	439.22	691.333	577.729
ENSMUSG00000000544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	60.38	82	26	44	108	114.064	31	51	26	28	62	44	17	54.435	61
ENSMUSG00000000555	105	11	50	20	53	29	31	32	21	20	16	26	16	12	18
ENSMUSG00000000560	212.165	378	306	376.001	291.972	168.002	479	286	451.999	208	403.001	577.999	384.999	218	359
ENSMUSG00000000561	119.306	51.803	64.451	134.354	181.602	74.897	141.116	209.005	118.75	94.038	33.861	79.942	75.009	159.032	125.558
ENSMUSG00000000562	51.172	11	3	1	4	0	0	1	0	20.533	0	0	0	5	1
ENSMUSG00000000563	216.012	78.496	33	158.956	219.001	58	208	124	190	172	68	140.967	136.999	117.44	105
ENSMUSG00000000567	88	29	27	7	24	14	5	3	8	143.563	1	17	4	2	4
ENSMUSG00000000568	697.623	368.981	290.924	498.051	800.089	681.744	505.865	623.696	491.897	497.001	181.921	352.999	386.673	617.995	577.445
ENSMUSG00000000579	54.755	3.862	29.888	6.461	2.341	3.494	18.589	5.385	13.782	48.501	8.006	5.513	17.649	11.948	22.938
ENSMUSG00000000581	62.001	21	18	34	64	47.999	47	32	53	41	6	22	12	16	16
ENSMUSG00000000594	226	57	15	25	34	18	38	12	40	371	1	51.019	18	2	17
ENSMUSG00000000600	1459	991.726	890.331	1394.463	2302.502	1078	2051.584	1672	1712	1123.999	1047.033	1650.765	960	1558	1849.918
ENSMUSG00000000605	318.809	221.496	121	259.556	312.992	107.83	328.165	134.897	281.954	395.582	139.889	285.359	170.701	77.991	124.891
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000000627	76	113	111	168	51	122	232.129	86	135	91	81	116	91	24	47
ENSMUSG00000000628	230	24	34	0	34	14	0	8	0	13	7	8	1	0	14
ENSMUSG00000000631	953.921	644	825	801	1026.001	1136.999	541.128	940.256	415	855.406	355.002	682.764	369.038	472.001	554.653
ENSMUSG00000000632	99	196.999	383	216.344	308	177	218	168	153.999	166	160.001	214.328	169	49	98.999
ENSMUSG00000000673	42	2	12	0	48	17	2	8	2	13	8	1	0	0	1
ENSMUSG00000000682	95	2	3	0	15	3	2	10	0	0	0	1	0	0	4
ENSMUSG00000000686	7.081	6	0	4	0	0	7	2	6	9	6	2	6	3	3
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	87.037	28.218	103.367	12.364	17.678	1.018	3.981	10.942	9.438	89.442	19.468	9.999	1.135	11.755	1.148
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	1	3	0	0	0	0	0	2	0	0	0	0	0	1	0
ENSMUSG00000000708	287.059	40	66	18	44	29	39	40	23	171	17	73	23	14	30
ENSMUSG00000000711	187	78	17	116	186	93	113	65	107.806	147	71	117	84	43	52
ENSMUSG00000000724	7	1	2	10	25	0	4	9	4	4	1	10	4	12	5
ENSMUSG00000000730	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000731	1	0	0	1	1	0	0	6	0	0	0	0	0	0	0
ENSMUSG00000000732	311.999	26	19	2	18	11	0	23	0	61	0	8	2	2	3
ENSMUSG00000000738	191.999	160	137	151	194.001	128	133.001	141.306	105.358	104	80.001	140	76.999	89.999	154
ENSMUSG00000000739	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000000740	213.714	86.333	53.999	91.465	43.315	27	101.737	27.516	76.603	183.941	22.201	48.393	57.419	9.736	39.892
ENSMUSG00000000743	95	27	91	68	62	18	57	50	43	61	30	67	34	27	22
ENSMUSG00000000751	104	47	29	44	154	53	52	64	38	91.133	37	29	25	131	88
ENSMUSG00000000753	34	6	24	15	26	12	12	11	7	29	13	6	8	16	10
ENSMUSG00000000759	440.001	145	187	271.999	835.619	484.54	319	639.536	235.001	266.817	121.999	294	180	383	261.182
ENSMUSG00000000766	38.001	35	29	61	20	7	68	20.999	43	3	33	46.001	27.001	3	30
ENSMUSG00000000776	59	35	26	23	156	32	31	65	24	41.999	9	38.001	19	61	35
ENSMUSG00000000782	43	2	13	1	22	6	13	18	6	17	2	9	5	21	27
ENSMUSG00000000787	880.734	284.077	427	477	565.001	323.999	627	448	666.999	770.45	136.999	399.001	362	270	419.999
ENSMUSG00000000791	57	6	5	0	10	83	0	0	0	9	0	0	1	2	0
ENSMUSG00000000792	6	12	44	5	17	10	10	2	8	10	3	10	9	9	9
ENSMUSG00000000794	132	103	95	41	112	20	81	60	79	411	122	85	75	12	36
ENSMUSG00000000804	682.167	518	677.001	758.432	1027.001	598.001	908.975	553	892	741.344	391.001	972.339	567.838	792.517	822.614
ENSMUSG00000000805	45	141	37	147	57	23	123.001	63	113	44	61	83	61	12	68
ENSMUSG00000000811	18	4	0	2	5	7	5	2	2	10	3	10	1	1	0
ENSMUSG00000000817	18	0	2	0	25	4	2	5	1	0	0	0	4	11	4
ENSMUSG00000000823	307	436.999	361.001	402.999	762.001	550.999	356.017	458.999	335	427.999	394.001	563	312.001	224.997	358.244
ENSMUSG00000000826	1003	680.012	367	727	1613.5	800	608	1031	674.542	725	248	506.999	439	1592.999	883.001
ENSMUSG00000000827	369.199	286.786	272.001	222	294.123	232.001	214.998	321	213	313.445	125.043	256.447	145	230.999	187
ENSMUSG00000000838	307.476	190.001	176.326	240	272	191.56	315.425	325.65	286.35	286.369	153.999	307.64	202.275	276.001	319
ENSMUSG00000000861	564.54	1903.604	1149.946	1715.529	1345.82	480.001	1905.989	1234	1629.919	153.603	985.694	1905.84	908.246	538.001	1199.437
ENSMUSG00000000869	4	3	0	2	5	0	4	1	4	1	1	3	0	6	7
ENSMUSG00000000876	38	47	4	30	37	9	28	22	16	52	12	37	15	5	27
ENSMUSG00000000881	218.001	162	100	288.001	232.999	129	222	151.999	237.884	174.999	124	199.001	147.999	47	103
ENSMUSG00000000884	8	3	15	0	33	10	6	7	1	7.999	0	0	2	10	11
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
ENSMUSG00000000901	12	4	0	1	4	1	2.034	5	5.201	15	1	1	1	1	2
ENSMUSG00000000902	240	163.199	99	143	103	97	167	130	174	217.002	105	200.558	123	66	75.074
ENSMUSG00000000903	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000915	421.259	116.781	112.665	113.321	116.15	156.245	129.984	171.623	107.634	382.377	50.333	175.24	67.66	152.323	110.796
ENSMUSG00000000916	75.017	46.338	83.907	94.474	65.973	39.856	107.818	96.377	103.314	69.076	59.054	56.44	66.571	49.25	49.302
ENSMUSG00000000934	48	19	8	35	21.478	32	18	11	15	13	10	15	18	2	9
ENSMUSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948	598.143	1146.078	840.331	1404.287	1614.548	527.146	2285.981	1698.66	1623.757	300.411	902.518	1968.968	1053.528	1238.165	1983.534
ENSMUSG00000000957	190	40	25	5	12	0	0	11	0	192	12	19	2	1	3
ENSMUSG00000000958	37.306	2	0	1.027	3	3	0	5.588	1.05	7.064	6	3.312	1.025	1.06	4.166
ENSMUSG00000000959	183.694	99.001	27	90.973	97	62	78.001	97.411	74.949	88.935	33	108.688	54.975	72.94	89.833
ENSMUSG00000000976	239	162	262.048	166	495.105	307.397	216	287	154.999	193.001	108.372	199	132	215	227
ENSMUSG00000000982	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000983	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001016	310.312	159.577	177	196.516	570.363	473.327	212.574	309.22	164.459	243.846	139.001	189.599	136.042	214.707	270.212
ENSMUSG00000001017	303.453	135.999	202.578	173	159	108.091	212.999	168.805	228.999	383.338	92	128.561	109.001	106.77	129
ENSMUSG00000001018	142.689	38.423	27	46.484	62.639	23.673	70.65	58.78	55.541	158.154	45	77.083	39.958	54.294	59.789
ENSMUSG00000001020	10	1	0	1	0	0	0	0	0	7	0	0	0	5	0
ENSMUSG00000001021	4	17	0	0	30	36	0	13	0	10.218	2	0	0	2	2
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000001025	9	7	0	0	2	0	4	1	0	8	1	0	4	0	0
ENSMUSG00000001027	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000001029	4	1	1	0	0	0	0	0	0	9	0	0	0	2	0
ENSMUSG00000001034	135	82	53	71	69	23	71	72.001	36.001	205	43.999	65.999	45.999	17.001	39
