6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000000003	10	0	3	2	16	10	0	9	14	2
ENSG00000000419	158	193	181	166	271	192	86	196	135	186
ENSG00000000457	276	280	219	259	424	366	326	445	195	286
ENSG00000000460	52	70	38	58	71	91	50	94	27	63
ENSG00000000938	104	38	575	487	83	346	64	139	694	201
ENSG00000000971	35	68	541	368	138	314	103	96	200	59
ENSG00000001036	204	188	191	180	308	163	190	239	93	143
ENSG00000001084	449	424	420	455	379	776	182	403	705	565
ENSG00000001167	661	595	427	474	820	700	481	709	408	597
ENSG00000001460	55	26	56	31	46	29	77	79	67	40
ENSG00000001461	825	711	590	372	939	667	705	658	383	499
ENSG00000001497	164	227	183	164	360	216	238	293	217	275
ENSG00000001561	180	138	399	377	177	423	126	141	342	144
ENSG00000001617	5	22	2	8	1	1	2	4	4	6
ENSG00000001626	36	59	73	0	82	19	54	36	0	91
ENSG00000001629	758	662	721	518	1027	733	674	821	479	878
ENSG00000001630	1125	669	431	734	529	952	389	382	572	483
ENSG00000001631	229	218	300	222	218	329	185	304	142	243
ENSG00000002016	44	47	54	42	86	50	108	161	54	77
ENSG00000002330	203	72	58	82	104	138	59	74	97	92
ENSG00000002549	702	368	576	608	588	752	363	687	491	722
ENSG00000002586	4944	1994	3297	2766	3142	4740	3279	2245	2874	2167
ENSG00000002587	16	23	13	39	28	38	95	236	34	19
ENSG00000002746	2	1	0	0	1	0	28	30	0	0
ENSG00000002822	440	187	283	312	297	456	317	261	466	486
ENSG00000002834	2927	1633	2487	2443	2845	3013	2510	2820	2515	2327
ENSG00000002919	122	226	93	78	174	222	125	154	172	123
ENSG00000002933	23	14	70	88	34	74	25	34	25	25
ENSG00000003056	1111	881	1217	1216	1526	1594	1224	1303	1136	1335
ENSG00000003096	32	17	44	23	5	62	8	20	14	35
ENSG00000003147	80	432	14	64	1518	83	649	1046	57	894
ENSG00000003249	22	8	3	0	3	7	6	8	7	8
ENSG00000003393	315	153	87	66	185	208	53	116	113	128
ENSG00000003400	253	279	421	748	423	472	461	310	571	366
ENSG00000003402	3786	3948	3857	3281	6332	4466	4610	6920	2654	5539
ENSG00000003436	132	143	214	180	214	272	103	125	110	150
ENSG00000003509	94	170	126	133	173	249	117	185	109	157
ENSG00000003756	1899	1999	2177	2288	2695	2645	1716	2187	2510	2315
ENSG00000003989	8	32	2	1	3	0	12	3	10	0
ENSG00000004059	1077	666	785	784	1333	1284	1250	1215	1005	1013
ENSG00000004139	93	188	127	195	175	131	346	414	165	153
ENSG00000004142	225	159	220	231	367	293	272	338	224	324
ENSG00000004399	2370	1081	1895	2225	1292	2599	1305	1474	1639	857
ENSG00000004455	547	1119	864	769	1323	1074	1159	1076	650	991
ENSG00000004468	154	204	158	275	485	254	136	277	114	929
ENSG00000004478	993	2421	574	523	6628	1006	4541	7647	581	1444
ENSG00000004487	308	343	405	446	478	514	477	579	418	472
ENSG00000004534	902	1326	1401	2070	1994	1552	1034	1484	1799	1674
ENSG00000004660	93	34	75	209	124	101	64	63	101	110
ENSG00000004700	228	263	307	380	307	346	259	291	177	296
ENSG00000004766	94	77	92	121	115	84	96	118	93	149
ENSG00000004777	339	43	113	104	124	131	155	211	82	242
ENSG00000004779	391	300	342	350	498	451	355	334	297	351
ENSG00000004799	79	35	146	85	34	87	43	9	112	49
ENSG00000004809	9	10	18	27	17	27	7	11	12	9
ENSG00000004838	24	7	3	35	15	44	14	35	35	5
ENSG00000004848	0	2	1	0	0	3	4	3	7	0
ENSG00000004864	70	89	146	60	149	160	148	220	64	135
ENSG00000004866	228	121	169	100	246	220	223	102	119	156
ENSG00000004897	737	533	985	557	665	747	435	746	572	630
