gene_name	gene_biotype
ENSG00000000003	TSPAN6	protein_coding
ENSG00000000419	DPM1	protein_coding
ENSG00000000457	SCYL3	protein_coding
ENSG00000000460	C1orf112	protein_coding
ENSG00000000938	FGR	protein_coding
ENSG00000000971	CFH	protein_coding
ENSG00000001036	FUCA2	protein_coding
ENSG00000001084	GCLC	protein_coding
ENSG00000001167	NFYA	protein_coding
ENSG00000001460	STPG1	protein_coding
ENSG00000001461	NIPAL3	protein_coding
ENSG00000001497	LAS1L	protein_coding
ENSG00000001561	ENPP4	protein_coding
ENSG00000001617	SEMA3F	protein_coding
ENSG00000001626	CFTR	protein_coding
ENSG00000001629	ANKIB1	protein_coding
ENSG00000001630	CYP51A1	protein_coding
ENSG00000001631	KRIT1	protein_coding
ENSG00000002016	RAD52	protein_coding
ENSG00000002330	BAD	protein_coding
ENSG00000002549	LAP3	protein_coding
ENSG00000002586	CD99	protein_coding
ENSG00000002587	HS3ST1	protein_coding
ENSG00000002746	HECW1	protein_coding
ENSG00000002822	MAD1L1	protein_coding
ENSG00000002834	LASP1	protein_coding
ENSG00000002919	SNX11	protein_coding
ENSG00000002933	TMEM176A	protein_coding
ENSG00000003056	M6PR	protein_coding
ENSG00000003096	KLHL13	protein_coding
ENSG00000003147	ICA1	protein_coding
ENSG00000003249	DBNDD1	protein_coding
ENSG00000003393	ALS2	protein_coding
ENSG00000003400	CASP10	protein_coding
ENSG00000003402	CFLAR	protein_coding
ENSG00000003436	TFPI	protein_coding
ENSG00000003509	NDUFAF7	protein_coding
ENSG00000003756	RBM5	protein_coding
ENSG00000003989	SLC7A2	protein_coding
ENSG00000004059	ARF5	protein_coding
ENSG00000004139	SARM1	protein_coding
ENSG00000004142	POLDIP2	protein_coding
ENSG00000004399	PLXND1	protein_coding
ENSG00000004455	AK2	protein_coding
ENSG00000004468	CD38	protein_coding
ENSG00000004478	FKBP4	protein_coding
ENSG00000004487	KDM1A	protein_coding
ENSG00000004534	RBM6	protein_coding
ENSG00000004660	CAMKK1	protein_coding
ENSG00000004700	RECQL	protein_coding
ENSG00000004766	VPS50	protein_coding
ENSG00000004777	ARHGAP33	protein_coding
ENSG00000004779	NDUFAB1	protein_coding
ENSG00000004799	PDK4	protein_coding
ENSG00000004809	SLC22A16	protein_coding
ENSG00000004838	ZMYND10	protein_coding
ENSG00000004848	ARX	protein_coding
ENSG00000004864	SLC25A13	protein_coding
ENSG00000004866	ST7	protein_coding
ENSG00000004897	CDC27	protein_coding
ENSG00000004939	SLC4A1	protein_coding
ENSG00000004961	HCCS	protein_coding
ENSG00000004975	DVL2	protein_coding
ENSG00000005001	PRSS22	protein_coding
ENSG00000005007	UPF1	protein_coding
ENSG00000005020	SKAP2	protein_coding
ENSG00000005022	SLC25A5	protein_coding
ENSG00000005059	MCUB	protein_coding
ENSG00000005075	POLR2J	protein_coding
ENSG00000005100	DHX33	protein_coding
ENSG00000005102	MEOX1	protein_coding
ENSG00000005108	THSD7A	protein_coding
ENSG00000005156	LIG3	protein_coding
ENSG00000005175	RPAP3	protein_coding
ENSG00000005187	ACSM3	protein_coding
ENSG00000005189	REXO5	protein_coding
ENSG00000005194	CIAPIN1	protein_coding
ENSG00000005206	SPPL2B	protein_coding
ENSG00000005238	FAM214B	protein_coding
ENSG00000005243	COPZ2	protein_coding
ENSG00000005249	PRKAR2B	protein_coding
ENSG00000005302	MSL3	protein_coding
ENSG00000005339	CREBBP	protein_coding
ENSG00000005379	TSPOAP1	protein_coding
ENSG00000005381	MPO	protein_coding
ENSG00000005436	GCFC2	protein_coding
ENSG00000005448	WDR54	protein_coding
ENSG00000005469	CROT	protein_coding
ENSG00000005471	ABCB4	protein_coding
ENSG00000005483	KMT2E	protein_coding
ENSG00000005486	RHBDD2	protein_coding
ENSG00000005513	SOX8	protein_coding
ENSG00000005700	IBTK	protein_coding
ENSG00000005801	ZNF195	protein_coding
ENSG00000005810	MYCBP2	protein_coding
ENSG00000005812	FBXL3	protein_coding
ENSG00000005844	ITGAL	protein_coding
ENSG00000005882	PDK2	protein_coding
ENSG00000005884	ITGA3	protein_coding
ENSG00000005889	ZFX	protein_coding
ENSG00000005893	LAMP2	protein_coding
ENSG00000005961	ITGA2B	protein_coding
ENSG00000005981	ASB4	protein_coding
ENSG00000006007	GDE1	protein_coding
ENSG00000006015	REX1BD	protein_coding
ENSG00000006016	CRLF1	protein_coding
ENSG00000006025	OSBPL7	protein_coding
ENSG00000006042	TMEM98	protein_coding
ENSG00000006062	MAP3K14	protein_coding
ENSG00000006118	TMEM132A	protein_coding
ENSG00000006125	AP2B1	protein_coding
ENSG00000006194	ZNF263	protein_coding
ENSG00000006210	CX3CL1	protein_coding
ENSG00000006282	SPATA20	protein_coding
ENSG00000006283	CACNA1G	protein_coding
ENSG00000006327	TNFRSF12A	protein_coding
ENSG00000006432	MAP3K9	protein_coding
ENSG00000006451	RALA	protein_coding
ENSG00000006453	BAIAP2L1	protein_coding
ENSG00000006459	KDM7A	protein_coding
ENSG00000006468	ETV1	protein_coding
ENSG00000006530	AGK	protein_coding
ENSG00000006534	ALDH3B1	protein_coding
ENSG00000006555	TTC22	protein_coding
ENSG00000006576	PHTF2	protein_coding
ENSG00000006607	FARP2	protein_coding
ENSG00000006625	GGCT	protein_coding
ENSG00000006634	DBF4	protein_coding
ENSG00000006638	TBXA2R	protein_coding
ENSG00000006652	IFRD1	protein_coding
ENSG00000006695	COX10	protein_coding
ENSG00000006704	GTF2IRD1	protein_coding
ENSG00000006712	PAF1	protein_coding
ENSG00000006715	VPS41	protein_coding
ENSG00000006740	ARHGAP44	protein_coding
ENSG00000006744	ELAC2	protein_coding
ENSG00000006747	SCIN	protein_coding
ENSG00000006756	ARSD	protein_coding
ENSG00000006757	PNPLA4	protein_coding
ENSG00000006831	ADIPOR2	protein_coding
ENSG00000006837	CDKL3	protein_coding
ENSG00000007001	UPP2	protein_coding
ENSG00000007038	PRSS21	protein_coding
ENSG00000007047	MARK4	protein_coding
ENSG00000007062	PROM1	protein_coding
ENSG00000007080	CCDC124	protein_coding
ENSG00000007129	CEACAM21	protein_coding
ENSG00000007168	PAFAH1B1	protein_coding
ENSG00000007171	NOS2	protein_coding
ENSG00000007174	DNAH9	protein_coding
ENSG00000007202	KIAA0100	protein_coding
ENSG00000007237	GAS7	protein_coding
ENSG00000007255	TRAPPC6A	protein_coding
ENSG00000007264	MATK	protein_coding
ENSG00000007312	CD79B	protein_coding
ENSG00000007314	SCN4A	protein_coding
ENSG00000007341	ST7L	protein_coding
ENSG00000007350	TKTL1	protein_coding
ENSG00000007372	PAX6	protein_coding
ENSG00000007376	RPUSD1	protein_coding
ENSG00000007384	RHBDF1	protein_coding
ENSG00000007392	LUC7L	protein_coding
ENSG00000007402	CACNA2D2	protein_coding
ENSG00000007516	BAIAP3	protein_coding
ENSG00000007520	TSR3	protein_coding
ENSG00000007541	PIGQ	protein_coding
ENSG00000007545	CRAMP1	protein_coding
ENSG00000007866	TEAD3	protein_coding
ENSG00000007923	DNAJC11	protein_coding
